"TOA5","SPER_CR6","CR6","4231","CR6.Std.05.01 CR6-WIFI.01","CPU:SPER2_1_1.CR6","16414","Daily"
"TIMESTAMP","RECORD","BattV_Min","WS_ms_Avg","WS_ms_Max","WS_ms_TMx","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","SlrMJ_Tot","Rain_mm_Tot","AirTC_Avg","AirTC_Max","AirTC_TMx","AirTC_Min","AirTC_TMn","RH_Max","RH_TMx","RH_Min","RH_TMn"
"TS","RN","Volts","meters/second","meters/second","meters/second","meters/second","Deg","Deg","MJ/m^2","mm","Deg C","Deg C","Deg C","Deg C","Deg C","%","%","%","%"
"","","Min","Avg","Max","TMx","WVc","WVc","WVc","Tot","Tot","Avg","Max","TMx","Min","TMn","Max","TMx","Min","TMn"
"2017-01-11 00:00:00",0,13.29,1.9,6.546,"2017-01-10 23:45:40",1.9,155.5,17.57,0.2885841,0,9.1,17.03,"2017-01-10 16:18:00",6.623,"2017-01-10 18:44:15",35.65,"2017-01-10 23:04:25",15.18,"2017-01-10 16:18:35"
"2017-01-12 00:00:00",1,13.25,3.793,9.68,"2017-01-11 12:00:20",3.793,236.2,73.09,5.94009,0,10.84,22.81,"2017-01-11 15:44:50",-3.759,"2017-01-11 23:56:35",61.19,"2017-01-11 23:35:00",8.31,"2017-01-11 15:08:10"
"2017-01-13 00:00:00",2,13.51,2.621,6.919,"2017-01-12 19:09:20",2.621,14.87,27.22,10.80868,0,-4.753,2.95,"2017-01-12 14:42:45",-10.97,"2017-01-12 07:52:15",77.27,"2017-01-12 07:56:00",31.91,"2017-01-12 14:43:05"
"2017-01-14 00:00:00",3,13.42,2.102,5.468,"2017-01-13 10:01:40",2.102,8.34,25.63,2.354596,0,-4.563,-2.463,"2017-01-13 14:54:45",-7.307,"2017-01-13 01:19:35",67.12,"2017-01-13 01:26:25",49.66,"2017-01-13 14:55:05"
"2017-01-15 00:00:00",4,13.53,1.031,4.155,"2017-01-14 11:40:00",1.031,7.738,19.67,0.8530018,0.1,-1.639,-0.305,"2017-01-14 23:46:35",-3.024,"2017-01-14 00:03:20",97.6,"2017-01-14 21:57:10",46.17,"2017-01-14 10:08:00"
"2017-01-16 00:00:00",5,12.36,0,0,"2017-01-15 00:00:05",0,0,0,1.320605,32.2,-0.228,0.152,"2017-01-15 13:54:15",-0.822,"2017-01-15 06:32:05",98.9,"2017-01-15 23:03:20",95.7,"2017-01-15 13:28:25"
"2017-01-17 00:00:00",6,11.24,1.078,5.664,"2017-01-16 14:03:35",1.078,306.9,10.06,4.904228,29.6,1.276,2.942,"2017-01-16 16:09:55",-0.013,"2017-01-16 00:27:50",99.1,"2017-01-16 08:22:20",89.9,"2017-01-16 15:25:05"
"2017-01-21 00:00:00",7,12.76,2.957,12.43,"2017-01-20 16:38:15",2.957,259.8,36.98,8.681206,0.1,9.28,18.91,"2017-01-20 15:00:00",-0.925,"2017-01-20 23:54:40",99.4,"2017-01-20 10:10:30",20.7,"2017-01-20 16:38:35"
"2017-01-22 00:00:00",8,13.32,1.664,6.821,"2017-01-21 18:41:25",1.664,96.4,71.09,7.15928,1.2,5.251,15.29,"2017-01-21 15:26:40",-3.603,"2017-01-21 02:38:10",97.9,"2017-01-21 03:15:30",44.99,"2017-01-21 12:53:00"
"2017-01-23 00:00:00",9,13.3,3.534,8.76,"2017-01-22 04:31:40",3.534,334.7,29.41,12.48679,3,6.939,13.35,"2017-01-22 16:03:45",-0.892,"2017-01-22 22:10:55",97,"2017-01-22 02:55:25",40.69,"2017-01-22 16:35:05"
"2017-01-24 00:00:00",10,12.78,2.52,10.15,"2017-01-23 13:15:40",2.52,168.5,43.48,12.91989,0,7.086,21.19,"2017-01-23 16:27:30",-5.229,"2017-01-23 06:12:55",97.4,"2017-01-23 05:07:25",23.22,"2017-01-23 16:23:55"
"2017-01-25 00:00:00",11,13.23,3.414,12.15,"2017-01-24 12:24:55",3.414,266.7,73.59,12.93395,0,8.89,21.02,"2017-01-24 14:20:45",0.145,"2017-01-24 23:31:45",79.94,"2017-01-24 03:16:35",18.29,"2017-01-24 14:46:55"
"2017-01-26 00:00:00",12,13.49,4.245,10.45,"2017-01-25 04:30:35",4.245,319.2,14.13,13.1316,0,-0.122,5.689,"2017-01-25 15:25:55",-4.053,"2017-01-25 07:33:45",75.84,"2017-01-25 07:30:15",34.2,"2017-01-25 15:07:40"
"2017-01-27 00:00:00",13,13.44,2.332,8.49,"2017-01-26 15:00:10",2.332,302.4,24.71,12.83921,0,-1.411,7.713,"2017-01-26 15:18:50",-7.92,"2017-01-26 02:05:15",88.8,"2017-01-26 02:13:15",22.58,"2017-01-26 14:58:55"
"2017-01-28 00:00:00",14,13.47,3.118,10.27,"2017-01-27 15:15:35",3.118,288.9,19.69,13.63267,0,-0.183,8.21,"2017-01-27 14:45:30",-8.69,"2017-01-27 07:13:35",82.8,"2017-01-27 07:14:05",15.54,"2017-01-27 16:05:10"
"2017-01-29 00:00:00",15,13.4,3.202,9.15,"2017-01-28 14:17:45",3.202,308,22.1,13.41293,0,4.221,13.16,"2017-01-28 15:12:35",-4.059,"2017-01-28 04:47:50",82.3,"2017-01-28 07:41:55",19.42,"2017-01-28 15:13:55"
"2017-01-30 00:00:00",16,13.23,3.8,11.88,"2017-01-29 15:41:10",3.8,304.1,23.28,13.53592,0,9.44,20.59,"2017-01-29 16:01:00",0.111,"2017-01-29 03:08:55",60.34,"2017-01-29 03:09:10",12.91,"2017-01-29 16:35:50"
"2017-01-31 00:00:00",17,13.18,1.989,8.96,"2017-01-30 15:39:15",1.989,251.9,43.09,13.72813,0,9.61,24.97,"2017-01-30 14:49:30",-4.736,"2017-01-30 07:27:25",76.85,"2017-01-30 07:28:20",8.61,"2017-01-30 14:15:05"
"2017-02-01 00:00:00",18,13.28,1.542,7.076,"2017-01-31 09:39:55",1.542,48.75,57.55,12.47477,0,6.853,18.95,"2017-01-31 15:01:05",-3.731,"2017-01-31 05:53:50",83.2,"2017-01-31 05:55:50",17.88,"2017-01-31 14:37:30"
"2017-02-02 00:00:00",19,13.41,3.683,9.09,"2017-02-01 13:04:20",3.683,21.39,18.86,13.27643,0,2.758,10.25,"2017-02-01 14:34:15",-2.919,"2017-02-01 23:59:55",85.3,"2017-02-01 08:08:45",30.03,"2017-02-01 14:34:35"
"2017-02-03 00:00:00",20,13.52,2.421,7.076,"2017-02-02 02:01:30",2.421,31.89,27.78,11.20901,0,-3.862,1.081,"2017-02-02 15:31:05",-9.41,"2017-02-02 07:35:35",85.8,"2017-02-02 05:21:45",34.63,"2017-02-02 14:22:55"
"2017-02-04 00:00:00",21,13.52,1.505,5.429,"2017-02-03 11:52:45",1.505,81.2,57.11,11.34186,0,-3.814,3.757,"2017-02-03 16:03:05",-10.35,"2017-02-03 06:22:10",87.3,"2017-02-03 06:26:05",25.21,"2017-02-03 14:39:00"
"2017-02-05 00:00:00",22,13.24,3.771,11.23,"2017-02-04 09:52:45",3.771,190,26.43,14.36407,0,7.186,20.92,"2017-02-04 15:45:40",-6.285,"2017-02-04 00:56:55",76.1,"2017-02-04 23:59:55",18.86,"2017-02-04 16:20:00"
"2017-02-06 00:00:00",23,13.29,1.49,6.801,"2017-02-05 14:27:40",1.49,112.9,67.66,14.6387,0,6.071,17.33,"2017-02-05 14:14:35",-4.864,"2017-02-05 06:40:15",98.8,"2017-02-05 23:54:25",43.83,"2017-02-05 12:25:50"
"2017-02-07 00:00:00",24,13.18,2.256,8.51,"2017-02-06 14:52:15",2.256,220.4,46,12.18477,0.3,11.83,25.8,"2017-02-06 15:37:05",3.321,"2017-02-06 00:34:10",99.4,"2017-02-06 07:39:55",10.11,"2017-02-06 15:37:45"
"2017-02-08 00:00:00",25,13.18,2.487,9,"2017-02-07 15:14:40",2.487,229.7,59.85,13.30451,0,12.24,24.28,"2017-02-07 14:36:35",2.353,"2017-02-07 07:02:05",69.45,"2017-02-08 00:00:00",12.62,"2017-02-07 14:36:45"
"2017-02-09 00:00:00",26,13.45,3.694,9.7,"2017-02-08 08:52:05",3.694,0.779,32.07,14.12365,0,-1.078,5.606,"2017-02-08 15:28:50",-7.204,"2017-02-08 22:54:50",84.7,"2017-02-08 06:38:40",34.07,"2017-02-08 15:29:05"
"2017-02-10 00:00:00",27,13.31,3.557,9.62,"2017-02-09 12:49:25",3.557,166.6,34.16,14.40645,0,3.193,15.45,"2017-02-09 16:29:15",-8.13,"2017-02-09 01:42:30",85.4,"2017-02-09 03:49:10",23.2,"2017-02-09 16:20:20"
"2017-02-11 00:00:00",28,13.06,3.365,8.78,"2017-02-10 03:47:25",3.365,194.2,31.9,14.93431,0,18.55,32.94,"2017-02-10 15:58:00",7.943,"2017-02-10 06:31:10",47.87,"2017-02-10 07:36:55",11.38,"2017-02-10 17:23:10"
"2017-02-12 00:00:00",29,13.05,2.529,11.68,"2017-02-11 23:39:40",2.529,271.2,77.68,15.88052,0,19.04,32.45,"2017-02-11 16:36:25",5.016,"2017-02-11 07:41:25",65.6,"2017-02-11 07:42:10",9.52,"2017-02-11 15:24:25"
"2017-02-13 00:00:00",30,13.37,3.984,10.58,"2017-02-12 10:22:35",3.984,15.85,25.57,11.19292,0,8.03,11.74,"2017-02-12 13:39:55",4.226,"2017-02-12 23:31:25",74.95,"2017-02-12 05:52:00",24.58,"2017-02-12 15:42:20"
"2017-02-14 00:00:00",31,13.47,0.966,4.214,"2017-02-13 09:19:55",0.966,9.48,63.85,4.061643,3.1,2.766,7.125,"2017-02-13 12:52:00",-5.372,"2017-02-13 07:08:25",96.7,"2017-02-13 21:14:15",29.49,"2017-02-13 11:08:40"
"2017-02-15 00:00:00",32,13.48,2.221,8.57,"2017-02-14 10:13:10",2.221,341,31.11,3.627333,2.1,4.054,8.67,"2017-02-14 16:00:15",1.547,"2017-02-14 07:11:00",97.1,"2017-02-14 00:57:50",44.38,"2017-02-14 16:02:55"
"2017-02-16 00:00:00",33,13.3,1.629,5.214,"2017-02-15 12:14:25",1.629,289,58.28,16.3731,0,5.388,15.98,"2017-02-15 16:34:20",-5.362,"2017-02-15 07:17:20",92.3,"2017-02-15 07:19:15",20.34,"2017-02-15 15:24:55"
"2017-02-17 00:00:00",34,13.18,2.655,9.82,"2017-02-16 15:59:45",2.655,198.2,34.31,16.84711,0,11.04,24.38,"2017-02-16 15:24:50",-3.516,"2017-02-16 06:53:20",93.5,"2017-02-16 06:58:05",12.58,"2017-02-16 15:28:05"
"2017-02-18 00:00:00",35,13.18,2.954,9.17,"2017-02-17 15:42:10",2.954,186.5,24,16.13193,0,12.54,24.76,"2017-02-17 14:24:25",4.041,"2017-02-17 05:30:00",81,"2017-02-17 23:51:30",15.79,"2017-02-17 13:35:55"
"2017-02-19 00:00:00",36,13.16,1.481,8.15,"2017-02-18 15:03:10",1.481,162.5,52.2,15.92531,0,11.69,24.03,"2017-02-18 13:59:45",-0.28,"2017-02-18 07:13:05",98,"2017-02-18 07:30:05",23.54,"2017-02-18 13:55:15"
"2017-02-20 00:00:00",37,13.23,2.733,10.51,"2017-02-19 16:58:20",2.733,165.3,29.81,12.94315,0,13.62,21.98,"2017-02-19 16:22:45",3.921,"2017-02-19 03:45:35",98.8,"2017-02-19 08:03:15",54.11,"2017-02-19 13:10:50"
"2017-02-21 00:00:00",38,13.19,3.123,11.11,"2017-02-20 12:24:00",3.123,295.3,81.4,15.48727,0,14.72,23.04,"2017-02-20 14:38:00",7.474,"2017-02-20 23:52:50",85.9,"2017-02-20 00:00:10",8.95,"2017-02-20 14:56:10"
